Time:1642781455	n=6	avg=1195.50	stddev=274.74	bps=573840.00
Time:1642781455	n=4	avg=888.50	stddev=388.34	bps=284320.00
Time:1642781456	n=4	avg=1340.00	stddev=108.60	bps=428800.00
Time:1642781456	n=4	avg=1081.00	stddev=316.55	bps=345920.00
Time:1642781456	n=3	avg=943.67	stddev=637.47	bps=226480.00
Time:1642781456	n=3	avg=1097.33	stddev=454.96	bps=263360.00
Time:1642781456	n=13	avg=1374.85	stddev=158.74	bps=1429840.00
Time:1642781456	n=6	avg=978.83	stddev=371.97	bps=469840.00
Time:1642781456	n=2	avg=1157.50	stddev=56.50	bps=185200.00
Time:1642781456	n=4	avg=916.50	stddev=395.26	bps=293280.00
Time:1642781456	n=2	avg=1130.50	stddev=0.50	bps=180880.00
Time:1642781456	n=3	avg=1025.00	stddev=480.94	bps=246000.00
Time:1642781457	n=10	avg=1252.40	stddev=310.30	bps=1001920.00
Time:1642781457	n=4	avg=766.25	stddev=443.95	bps=245200.00
Time:1642781457	n=6	avg=1227.83	stddev=285.37	bps=589360.00
Time:1642781457	n=3	avg=930.67	stddev=576.52	bps=223360.00
Time:1642781457	n=2	avg=974.00	stddev=15.00	bps=155840.00
Time:1642781457	n=3	avg=733.00	stddev=509.04	bps=175920.00
Time:1642781457	n=19	avg=1363.68	stddev=159.13	bps=2072800.00
Time:1642781457	n=4	avg=962.75	stddev=437.14	bps=308080.00
Time:1642781457	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1642781457	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1642781458	n=9	avg=1081.89	stddev=483.09	bps=778960.00
Time:1642781458	n=4	avg=807.75	stddev=621.63	bps=258480.00
Time:1642781458	n=8	avg=1217.62	stddev=279.12	bps=779280.00
Time:1642781458	n=4	avg=730.75	stddev=469.32	bps=233840.00
Time:1642781458	n=7	avg=1153.71	stddev=481.18	bps=646080.00
Time:1642781458	n=4	avg=697.75	stddev=587.75	bps=223280.00
Time:1642781458	n=2	avg=982.50	stddev=3.50	bps=157200.00
Time:1642781458	n=3	avg=771.00	stddev=492.03	bps=185040.00
