Time:1642625746	n=7	avg=592.57	stddev=621.11	bps=331840.00
Time:1642625746	n=6	avg=525.00	stddev=639.32	bps=252000.00
Time:1642625746	n=9	avg=548.00	stddev=624.61	bps=394560.00
Time:1642625746	n=6	avg=563.00	stddev=616.97	bps=270240.00
Time:1642625746	n=13	avg=999.46	stddev=633.99	bps=1039440.00
Time:1642625746	n=10	avg=815.00	stddev=552.28	bps=652000.00
Time:1642625746	n=5	avg=431.40	stddev=476.95	bps=172560.00
Time:1642625746	n=5	avg=651.80	stddev=498.00	bps=260720.00
Time:1642625746	n=6	avg=555.17	stddev=515.94	bps=266480.00
Time:1642625746	n=4	avg=652.25	stddev=611.34	bps=208720.00
Time:1642625747	n=4	avg=581.75	stddev=539.76	bps=186160.00
Time:1642625747	n=7	avg=597.00	stddev=610.30	bps=334320.00
Time:1642625747	n=9	avg=617.78	stddev=591.51	bps=444800.00
Time:1642625747	n=5	avg=596.20	stddev=622.13	bps=238480.00
Time:1642625747	n=6	avg=693.17	stddev=651.66	bps=332720.00
Time:1642625747	n=5	avg=615.40	stddev=580.52	bps=246160.00
Time:1642625747	n=18	avg=1010.44	stddev=603.24	bps=1455040.00
Time:1642625747	n=5	avg=555.20	stddev=597.40	bps=222080.00
Time:1642625747	n=6	avg=561.33	stddev=525.26	bps=269440.00
Time:1642625747	n=4	avg=553.25	stddev=512.26	bps=177040.00
Time:1642625748	n=4	avg=594.25	stddev=553.03	bps=190160.00
Time:1642625748	n=6	avg=619.50	stddev=578.97	bps=297360.00
Time:1642625748	n=7	avg=613.71	stddev=659.21	bps=343680.00
Time:1642625748	n=4	avg=685.25	stddev=643.77	bps=219280.00
Time:1642625748	n=7	avg=628.00	stddev=660.88	bps=351680.00
Time:1642625748	n=6	avg=529.67	stddev=636.00	bps=254240.00
Time:1642625748	n=9	avg=546.89	stddev=626.29	bps=393760.00
Time:1642625748	n=6	avg=659.17	stddev=582.42	bps=316400.00
Time:1642625748	n=3	avg=530.33	stddev=635.57	bps=127280.00
