Time:1642781290	n=4	avg=1221.25	stddev=231.57	bps=390800.00
Time:1642781291	n=3	avg=373.00	stddev=184.31	bps=89520.00
Time:1642781291	n=9	avg=1428.00	stddev=0.00	bps=1028160.00
Time:1642781291	n=9	avg=1047.67	stddev=458.07	bps=754320.00
Time:1642781291	n=4	avg=1219.00	stddev=212.21	bps=390080.00
Time:1642781291	n=3	avg=467.33	stddev=265.68	bps=112160.00
Time:1642781291	n=4	avg=1239.75	stddev=200.24	bps=396720.00
Time:1642781291	n=3	avg=474.00	stddev=275.73	bps=113760.00
Time:1642781291	n=4	avg=1245.25	stddev=206.02	bps=398480.00
Time:1642781291	n=3	avg=501.33	stddev=307.99	bps=120320.00
Time:1642781291	n=4	avg=1324.00	stddev=111.79	bps=423680.00
Time:1642781292	n=3	avg=597.33	stddev=338.73	bps=143360.00
Time:1642781292	n=4	avg=1174.75	stddev=347.98	bps=375920.00
Time:1642781292	n=3	avg=571.33	stddev=292.56	bps=137120.00
Time:1642781292	n=7	avg=1428.00	stddev=0.00	bps=799680.00
Time:1642781292	n=10	avg=1076.70	stddev=438.14	bps=861360.00
Time:1642781292	n=5	avg=1081.20	stddev=476.07	bps=432480.00
Time:1642781292	n=3	avg=421.00	stddev=228.75	bps=101040.00
Time:1642781292	n=5	avg=1093.20	stddev=481.81	bps=437280.00
Time:1642781292	n=3	avg=434.00	stddev=243.07	bps=104160.00
Time:1642781292	n=4	avg=1290.50	stddev=145.90	bps=412960.00
Time:1642781293	n=3	avg=504.33	stddev=294.99	bps=121040.00
Time:1642781293	n=4	avg=1084.50	stddev=372.01	bps=347040.00
Time:1642781293	n=3	avg=459.00	stddev=268.33	bps=110160.00
Time:1642781293	n=3	avg=1245.33	stddev=235.38	bps=298880.00
Time:1642781293	n=3	avg=468.33	stddev=265.72	bps=112400.00
Time:1642781293	n=0	avg=0.00	stddev=0.00	bps=0.00
Time:1642781293	n=5	avg=802.40	stddev=493.07	bps=320960.00
