Time:1642621608	n=6	avg=998.33	stddev=479.61	bps=479200.00
Time:1642621609	n=2	avg=222.00	stddev=45.00	bps=35520.00
Time:1642621609	n=13	avg=1428.00	stddev=0.00	bps=1485120.00
Time:1642621609	n=11	avg=926.27	stddev=553.19	bps=815120.00
Time:1642621609	n=6	avg=1206.67	stddev=494.92	bps=579200.00
Time:1642621609	n=4	avg=399.00	stddev=94.63	bps=127680.00
Time:1642621609	n=6	avg=1188.83	stddev=402.69	bps=570640.00
Time:1642621609	n=3	avg=335.33	stddev=58.23	bps=80480.00
Time:1642621609	n=5	avg=1043.80	stddev=489.36	bps=417520.00
Time:1642621609	n=6	avg=883.00	stddev=576.80	bps=423840.00
Time:1642621609	n=3	avg=152.67	stddev=67.82	bps=36640.00
Time:1642621610	n=4	avg=1152.25	stddev=462.72	bps=368720.00
Time:1642621610	n=5	avg=708.60	stddev=596.81	bps=283440.00
Time:1642621610	n=2	avg=190.00	stddev=13.00	bps=30400.00
Time:1642621610	n=8	avg=1262.00	stddev=439.19	bps=807680.00
Time:1642621610	n=9	avg=1428.00	stddev=0.00	bps=1028160.00
Time:1642621610	n=13	avg=850.85	stddev=591.96	bps=884880.00
Time:1642621610	n=5	avg=1099.80	stddev=508.91	bps=439920.00
Time:1642621610	n=3	avg=144.00	stddev=74.99	bps=34560.00
Time:1642621610	n=4	avg=1090.50	stddev=556.64	bps=348960.00
Time:1642621610	n=3	avg=185.00	stddev=128.17	bps=44400.00
Time:1642621611	n=6	avg=1021.33	stddev=575.14	bps=490240.00
Time:1642621611	n=2	avg=218.50	stddev=23.50	bps=34960.00
Time:1642621611	n=5	avg=855.60	stddev=498.24	bps=342240.00
Time:1642621611	n=3	avg=132.00	stddev=45.99	bps=31680.00
Time:1642621611	n=2	avg=782.00	stddev=351.00	bps=125120.00
Time:1642621611	n=2	avg=364.50	stddev=274.50	bps=58320.00
Time:1642621611	n=2	avg=106.50	stddev=18.50	bps=17040.00
