n:39 mse_avg:7.77 mse_y:10.44 mse_u:2.95 mse_v:1.90 psnr_avg:39.23 psnr_y:37.94 psnr_u:43.43 psnr_v:45.34 
n:40 mse_avg:8.15 mse_y:10.97 mse_u:3.09 mse_v:1.97 psnr_avg:39.02 psnr_y:37.73 psnr_u:43.23 psnr_v:45.19 
n:41 mse_avg:2.99 mse_y:3.76 mse_u:1.81 mse_v:1.06 psnr_avg:43.38 psnr_y:42.37 psnr_u:45.56 psnr_v:47.87 
n:42 mse_avg:5.46 mse_y:7.35 mse_u:2.06 mse_v:1.33 psnr_avg:40.76 psnr_y:39.47 psnr_u:44.99 psnr_v:46.90 
n:43 mse_avg:6.07 mse_y:8.17 mse_u:2.26 mse_v:1.46 psnr_avg:40.30 psnr_y:39.01 psnr_u:44.58 psnr_v:46.49 
n:44 mse_avg:6.83 mse_y:9.25 mse_u:2.43 mse_v:1.59 psnr_avg:39.78 psnr_y:38.47 psnr_u:44.28 psnr_v:46.11 
n:45 mse_avg:6.72 mse_y:9.07 mse_u:2.44 mse_v:1.60 psnr_avg:39.86 psnr_y:38.55 psnr_u:44.26 psnr_v:46.09 
n:46 mse_avg:7.13 mse_y:9.65 mse_u:2.53 mse_v:1.66 psnr_avg:39.60 psnr_y:38.28 psnr_u:44.10 psnr_v:45.92 
n:47 mse_avg:6.59 mse_y:8.81 mse_u:2.60 mse_v:1.68 psnr_avg:39.94 psnr_y:38.68 psnr_u:43.98 psnr_v:45.87 
n:48 mse_avg:6.63 mse_y:8.87 mse_u:2.59 mse_v:1.70 psnr_avg:39.92 psnr_y:38.65 psnr_u:44.00 psnr_v:45.84 
n:49 mse_avg:7.07 mse_y:9.47 mse_u:2.74 mse_v:1.78 psnr_avg:39.64 psnr_y:38.37 psnr_u:43.75 psnr_v:45.63 
n:50 mse_avg:7.96 mse_y:10.74 mse_u:2.94 mse_v:1.88 psnr_avg:39.12 psnr_y:37.82 psnr_u:43.45 psnr_v:45.40 
n:51 mse_avg:3.77 mse_y:4.82 mse_u:2.10 mse_v:1.22 psnr_avg:42.37 psnr_y:41.30 psnr_u:44.91 psnr_v:47.28 
n:52 mse_avg:5.59 mse_y:7.47 mse_u:2.35 mse_v:1.35 psnr_avg:40.65 psnr_y:39.40 psnr_u:44.43 psnr_v:46.84 
n:53 mse_avg:5.80 mse_y:7.74 mse_u:2.44 mse_v:1.42 psnr_avg:40.50 psnr_y:39.25 psnr_u:44.26 psnr_v:46.60 
n:54 mse_avg:6.18 mse_y:8.20 mse_u:2.67 mse_v:1.62 psnr_avg:40.22 psnr_y:38.99 psnr_u:43.87 psnr_v:46.03 
n:55 mse_avg:6.88 mse_y:9.17 mse_u:2.83 mse_v:1.77 psnr_avg:39.76 psnr_y:38.51 psnr_u:43.61 psnr_v:45.65 
n:56 mse_avg:7.20 mse_y:9.60 mse_u:2.92 mse_v:1.90 psnr_avg:39.56 psnr_y:38.31 psnr_u:43.48 psnr_v:45.34 
n:57 mse_avg:7.66 mse_y:10.20 mse_u:3.14 mse_v:2.00 psnr_avg:39.29 psnr_y:38.04 psnr_u:43.16 psnr_v:45.11 
n:58 mse_avg:8.02 mse_y:10.74 mse_u:3.15 mse_v:2.00 psnr_avg:39.09 psnr_y:37.82 psnr_u:43.15 psnr_v:45.13 
n:59 mse_avg:7.61 mse_y:10.18 mse_u:3.07 mse_v:1.90 psnr_avg:39.31 psnr_y:38.05 psnr_u:43.26 psnr_v:45.34 
