Jan 20, 2022 10:30:49.734222000 -05
Jan 20, 2022 10:30:49.734320000 -05
Jan 20, 2022 10:30:49.734361000 -05
Jan 20, 2022 10:30:49.734420000 -05
Jan 20, 2022 10:30:49.734479000 -05
Jan 20, 2022 10:30:49.734517000 -05
Jan 20, 2022 10:30:49.734578000 -05
Jan 20, 2022 10:30:49.734616000 -05
Jan 20, 2022 10:30:49.742435000 -05
Jan 20, 2022 10:30:49.748844000 -05
Jan 20, 2022 10:30:49.770954000 -05
Jan 20, 2022 10:30:49.786960000 -05
Jan 20, 2022 10:30:49.794511000 -05
Jan 20, 2022 10:30:49.794561000 -05
Jan 20, 2022 10:30:49.800716000 -05
Jan 20, 2022 10:30:49.821550000 -05
Jan 20, 2022 10:30:49.836137000 -05
Jan 20, 2022 10:30:49.858856000 -05
Jan 20, 2022 10:30:49.858942000 -05
Jan 20, 2022 10:30:49.858992000 -05
Jan 20, 2022 10:30:49.898938000 -05
Jan 20, 2022 10:30:49.939098000 -05
Jan 20, 2022 10:30:49.978962000 -05
Jan 20, 2022 10:30:49.979045000 -05
Jan 20, 2022 10:30:49.979086000 -05
Jan 20, 2022 10:30:49.979126000 -05
Jan 20, 2022 10:30:50.018966000 -05
Jan 20, 2022 10:30:50.058999000 -05
Jan 20, 2022 10:30:50.098995000 -05
Jan 20, 2022 10:30:50.138997000 -05
Jan 20, 2022 10:30:50.139144000 -05
Jan 20, 2022 10:30:50.139228000 -05
Jan 20, 2022 10:30:50.178974000 -05
Jan 20, 2022 10:30:50.218959000 -05
Jan 20, 2022 10:30:50.258980000 -05
Jan 20, 2022 10:30:50.298947000 -05
Jan 20, 2022 10:30:50.338898000 -05
Jan 20, 2022 10:30:50.339017000 -05
Jan 20, 2022 10:30:50.339084000 -05
Jan 20, 2022 10:30:50.378965000 -05
Jan 20, 2022 10:30:50.418865000 -05
Jan 20, 2022 10:30:50.458855000 -05
Jan 20, 2022 10:30:50.498992000 -05
Jan 20, 2022 10:30:50.539013000 -05
Jan 20, 2022 10:30:50.539162000 -05
Jan 20, 2022 10:30:50.539246000 -05
Jan 20, 2022 10:30:50.539324000 -05
Jan 20, 2022 10:30:50.539401000 -05
Jan 20, 2022 10:30:50.539481000 -05
Jan 20, 2022 10:30:50.539555000 -05
Jan 20, 2022 10:30:50.539628000 -05
Jan 20, 2022 10:30:50.578994000 -05
Jan 20, 2022 10:30:50.618948000 -05
Jan 20, 2022 10:30:50.658895000 -05
Jan 20, 2022 10:30:50.698933000 -05
Jan 20, 2022 10:30:50.738969000 -05
Jan 20, 2022 10:30:50.739146000 -05
Jan 20, 2022 10:30:50.739282000 -05
Jan 20, 2022 10:30:50.778946000 -05
Jan 20, 2022 10:30:50.818938000 -05
Jan 20, 2022 10:30:50.858981000 -05
Jan 20, 2022 10:30:50.898950000 -05
Jan 20, 2022 10:30:50.899099000 -05
Jan 20, 2022 10:30:50.899195000 -05
Jan 20, 2022 10:30:50.899297000 -05
Jan 20, 2022 10:30:50.938971000 -05
Jan 20, 2022 10:30:50.978921000 -05
Jan 20, 2022 10:30:51.018925000 -05
Jan 20, 2022 10:30:51.058920000 -05
Jan 20, 2022 10:30:51.098920000 -05
Jan 20, 2022 10:30:51.099067000 -05
Jan 20, 2022 10:30:51.099157000 -05
Jan 20, 2022 10:30:51.099275000 -05
Jan 20, 2022 10:30:51.138998000 -05
Jan 20, 2022 10:30:51.178927000 -05
Jan 20, 2022 10:30:51.218955000 -05
Jan 20, 2022 10:30:51.258940000 -05
Jan 20, 2022 10:30:51.259106000 -05
Jan 20, 2022 10:30:51.259190000 -05
Jan 20, 2022 10:30:51.298883000 -05
Jan 20, 2022 10:30:51.338932000 -05
