Jan 19, 2022 16:02:10.967052000 -05
Jan 19, 2022 16:02:11.020931000 -05
Jan 19, 2022 16:02:11.095342000 -05
Jan 19, 2022 16:02:11.790575000 -05
Jan 19, 2022 16:02:11.847881000 -05
Jan 19, 2022 16:02:12.021355000 -05
Jan 19, 2022 16:02:12.295983000 -05
Jan 19, 2022 16:02:12.594632000 -05
Jan 19, 2022 16:02:12.698477000 -05
Jan 19, 2022 16:02:13.012715000 -05
Jan 19, 2022 16:02:13.165506000 -05
Jan 19, 2022 16:02:13.761278000 -05
Jan 19, 2022 16:02:13.898634000 -05
Jan 19, 2022 16:02:13.919805000 -05
Jan 19, 2022 16:02:13.963971000 -05
Jan 19, 2022 16:02:14.075147000 -05
Jan 19, 2022 16:02:14.263988000 -05
Jan 19, 2022 16:02:14.432842000 -05
Jan 19, 2022 16:02:14.508416000 -05
Jan 19, 2022 16:02:14.558580000 -05
Jan 19, 2022 16:02:14.626402000 -05
Jan 19, 2022 16:02:14.782626000 -05
Jan 19, 2022 16:02:15.388269000 -05
Jan 19, 2022 16:02:15.424477000 -05
Jan 19, 2022 16:02:16.033886000 -05
Jan 19, 2022 16:02:16.110838000 -05
Jan 19, 2022 16:02:16.205289000 -05
Jan 19, 2022 16:02:16.368823000 -05
Jan 19, 2022 16:02:16.463071000 -05
Jan 19, 2022 16:02:17.261846000 -05
Jan 19, 2022 16:02:17.538262000 -05
Jan 19, 2022 16:02:17.582151000 -05
Jan 19, 2022 16:02:17.610604000 -05
Jan 19, 2022 16:02:17.937307000 -05
Jan 19, 2022 16:02:17.998491000 -05
Jan 19, 2022 16:02:18.322812000 -05
Jan 19, 2022 16:02:18.665814000 -05
Jan 19, 2022 16:02:18.679122000 -05
Jan 19, 2022 16:02:18.795059000 -05
Jan 19, 2022 16:02:19.190622000 -05
Jan 19, 2022 16:02:19.365525000 -05
Jan 19, 2022 16:02:19.408309000 -05
Jan 19, 2022 16:02:19.586270000 -05
Jan 19, 2022 16:02:20.076728000 -05
Jan 19, 2022 16:02:20.077422000 -05
Jan 19, 2022 16:02:20.272049000 -05
Jan 19, 2022 16:02:20.329726000 -05
Jan 19, 2022 16:02:20.338574000 -05
Jan 19, 2022 16:02:20.339946000 -05
Jan 19, 2022 16:02:20.573874000 -05
Jan 19, 2022 16:02:20.826801000 -05
Jan 19, 2022 16:02:21.282416000 -05
Jan 19, 2022 16:02:21.723687000 -05
Jan 19, 2022 16:02:21.818224000 -05
Jan 19, 2022 16:02:22.339047000 -05
Jan 19, 2022 16:02:22.354777000 -05
Jan 19, 2022 16:02:22.486562000 -05
Jan 19, 2022 16:02:22.873628000 -05
Jan 19, 2022 16:02:23.280122000 -05
Jan 19, 2022 16:02:23.587503000 -05
Jan 19, 2022 16:02:23.692500000 -05
Jan 19, 2022 16:02:23.789425000 -05
Jan 19, 2022 16:02:23.854906000 -05
Jan 19, 2022 16:02:23.885085000 -05
Jan 19, 2022 16:02:24.084560000 -05
Jan 19, 2022 16:02:24.318505000 -05
Jan 19, 2022 16:02:24.402401000 -05
Jan 19, 2022 16:02:24.502653000 -05
Jan 19, 2022 16:02:25.082626000 -05
Jan 19, 2022 16:02:25.187354000 -05
Jan 19, 2022 16:02:25.543061000 -05
Jan 19, 2022 16:02:25.653052000 -05
Jan 19, 2022 16:02:25.780668000 -05
Jan 19, 2022 16:02:25.949610000 -05
Jan 19, 2022 16:02:26.009288000 -05
Jan 19, 2022 16:02:26.013202000 -05
Jan 19, 2022 16:02:26.087080000 -05
Jan 19, 2022 16:02:26.242846000 -05
Jan 19, 2022 16:02:26.427641000 -05
Jan 19, 2022 16:02:26.981294000 -05
Jan 19, 2022 16:02:27.033322000 -05
Jan 19, 2022 16:02:27.307013000 -05
Jan 19, 2022 16:02:27.558209000 -05
Jan 19, 2022 16:02:27.884341000 -05
Jan 19, 2022 16:02:28.275612000 -05
Jan 19, 2022 16:02:28.614006000 -05
Jan 19, 2022 16:02:28.625937000 -05
Jan 19, 2022 16:02:28.697273000 -05
Jan 19, 2022 16:02:29.113737000 -05
Jan 19, 2022 16:02:29.130273000 -05
Jan 19, 2022 16:02:29.278614000 -05
Jan 19, 2022 16:02:29.305103000 -05
Jan 19, 2022 16:02:29.696376000 -05
Jan 19, 2022 16:02:29.913232000 -05
Jan 19, 2022 16:02:29.938576000 -05
Jan 19, 2022 16:02:30.576580000 -05
Jan 19, 2022 16:02:30.790161000 -05
Jan 19, 2022 16:02:30.846759000 -05
Jan 19, 2022 16:02:30.883086000 -05
Jan 19, 2022 16:02:30.969051000 -05
Jan 19, 2022 16:02:31.070141000 -05
Jan 19, 2022 16:02:31.093435000 -05
Jan 19, 2022 16:02:31.226984000 -05
Jan 19, 2022 16:02:31.659551000 -05
Jan 19, 2022 16:02:31.826191000 -05
Jan 19, 2022 16:02:31.978368000 -05
Jan 19, 2022 16:02:32.108275000 -05
Jan 19, 2022 16:02:32.482419000 -05
Jan 19, 2022 16:02:32.793908000 -05
Jan 19, 2022 16:02:33.032088000 -05
Jan 19, 2022 16:02:33.157406000 -05
