n:39 mse_avg:4.10 mse_y:5.02 mse_u:2.58 mse_v:1.94 psnr_avg:42.01 psnr_y:41.13 psnr_u:44.02 psnr_v:45.26 
n:40 mse_avg:3.24 mse_y:3.88 mse_u:2.20 mse_v:1.68 psnr_avg:43.03 psnr_y:42.24 psnr_u:44.71 psnr_v:45.87 
n:41 mse_avg:1.62 mse_y:1.82 mse_u:1.36 mse_v:1.05 psnr_avg:46.04 psnr_y:45.52 psnr_u:46.80 psnr_v:47.91 
n:42 mse_avg:3.07 mse_y:3.68 mse_u:2.14 mse_v:1.59 psnr_avg:43.25 psnr_y:42.47 psnr_u:44.82 psnr_v:46.12 
n:43 mse_avg:3.51 mse_y:4.25 mse_u:2.39 mse_v:1.69 psnr_avg:42.67 psnr_y:41.85 psnr_u:44.34 psnr_v:45.84 
n:44 mse_avg:3.61 mse_y:4.41 mse_u:2.35 mse_v:1.68 psnr_avg:42.56 psnr_y:41.69 psnr_u:44.41 psnr_v:45.89 
n:45 mse_avg:2.83 mse_y:3.35 mse_u:2.02 mse_v:1.53 psnr_avg:43.62 psnr_y:42.88 psnr_u:45.09 psnr_v:46.28 
n:46 mse_avg:3.66 mse_y:4.43 mse_u:2.47 mse_v:1.78 psnr_avg:42.49 psnr_y:41.66 psnr_u:44.20 psnr_v:45.64 
n:47 mse_avg:3.85 mse_y:4.64 mse_u:2.61 mse_v:1.90 psnr_avg:42.28 psnr_y:41.46 psnr_u:43.97 psnr_v:45.34 
n:48 mse_avg:4.18 mse_y:5.04 mse_u:2.82 mse_v:2.07 psnr_avg:41.92 psnr_y:41.10 psnr_u:43.63 psnr_v:44.97 
n:49 mse_avg:4.18 mse_y:5.07 mse_u:2.78 mse_v:2.01 psnr_avg:41.92 psnr_y:41.08 psnr_u:43.70 psnr_v:45.11 
n:50 mse_avg:3.11 mse_y:3.70 mse_u:2.18 mse_v:1.68 psnr_avg:43.21 psnr_y:42.45 psnr_u:44.75 psnr_v:45.87 
n:51 mse_avg:1.55 mse_y:1.74 mse_u:1.31 mse_v:1.03 psnr_avg:46.23 psnr_y:45.72 psnr_u:46.95 psnr_v:48.01 
n:52 mse_avg:2.99 mse_y:3.61 mse_u:2.00 mse_v:1.51 psnr_avg:43.37 psnr_y:42.55 psnr_u:45.12 psnr_v:46.35 
