n:39 mse_avg:11.71 mse_y:15.86 mse_u:4.12 mse_v:2.71 psnr_avg:37.45 psnr_y:36.13 psnr_u:41.99 psnr_v:43.81 
n:40 mse_avg:12.51 mse_y:16.98 mse_u:4.28 mse_v:2.85 psnr_avg:37.16 psnr_y:35.83 psnr_u:41.82 psnr_v:43.58 
n:41 mse_avg:3.59 mse_y:4.54 mse_u:2.16 mse_v:1.20 psnr_avg:42.58 psnr_y:41.56 psnr_u:44.78 psnr_v:47.35 
n:42 mse_avg:8.24 mse_y:11.36 mse_u:2.50 mse_v:1.52 psnr_avg:38.97 psnr_y:37.58 psnr_u:44.15 psnr_v:46.32 
n:43 mse_avg:9.56 mse_y:13.19 mse_u:2.76 mse_v:1.86 psnr_avg:38.32 psnr_y:36.93 psnr_u:43.72 psnr_v:45.43 
n:44 mse_avg:10.90 mse_y:15.07 mse_u:3.02 mse_v:2.10 psnr_avg:37.76 psnr_y:36.35 psnr_u:43.32 psnr_v:44.91 
n:45 mse_avg:11.06 mse_y:15.25 mse_u:3.10 mse_v:2.29 psnr_avg:37.69 psnr_y:36.30 psnr_u:43.22 psnr_v:44.53 
n:46 mse_avg:11.58 mse_y:15.94 mse_u:3.24 mse_v:2.49 psnr_avg:37.49 psnr_y:36.11 psnr_u:43.02 psnr_v:44.17 
n:47 mse_avg:10.50 mse_y:14.32 mse_u:3.34 mse_v:2.41 psnr_avg:37.92 psnr_y:36.57 psnr_u:42.89 psnr_v:44.32 
n:48 mse_avg:10.47 mse_y:14.26 mse_u:3.35 mse_v:2.40 psnr_avg:37.93 psnr_y:36.59 psnr_u:42.88 psnr_v:44.32 
n:49 mse_avg:11.47 mse_y:15.64 mse_u:3.66 mse_v:2.62 psnr_avg:37.53 psnr_y:36.19 psnr_u:42.50 psnr_v:43.95 
n:50 mse_avg:13.98 mse_y:19.24 mse_u:4.01 mse_v:2.91 psnr_avg:36.68 psnr_y:35.29 psnr_u:42.10 psnr_v:43.49 
n:51 mse_avg:4.20 mse_y:5.38 mse_u:2.36 mse_v:1.36 psnr_avg:41.89 psnr_y:40.83 psnr_u:44.40 psnr_v:46.80 
n:52 mse_avg:8.22 mse_y:11.26 mse_u:2.72 mse_v:1.60 psnr_avg:38.98 psnr_y:37.62 psnr_u:43.79 psnr_v:46.09 
n:53 mse_avg:8.84 mse_y:12.10 mse_u:2.85 mse_v:1.81 psnr_avg:38.67 psnr_y:37.30 psnr_u:43.58 psnr_v:45.56 
n:54 mse_avg:9.56 mse_y:13.02 mse_u:3.17 mse_v:2.07 psnr_avg:38.33 psnr_y:36.98 psnr_u:43.11 psnr_v:44.97 
n:55 mse_avg:11.08 mse_y:15.15 mse_u:3.49 mse_v:2.38 psnr_avg:37.69 psnr_y:36.33 psnr_u:42.70 psnr_v:44.37 
n:56 mse_avg:11.48 mse_y:15.61 mse_u:3.73 mse_v:2.71 psnr_avg:37.53 psnr_y:36.20 psnr_u:42.42 psnr_v:43.80 
n:57 mse_avg:12.52 mse_y:17.02 mse_u:4.12 mse_v:2.93 psnr_avg:37.16 psnr_y:35.82 psnr_u:41.99 psnr_v:43.47 
n:58 mse_avg:13.02 mse_y:17.74 mse_u:4.30 mse_v:2.85 psnr_avg:36.99 psnr_y:35.64 psnr_u:41.80 psnr_v:43.58 
n:59 mse_avg:13.54 mse_y:18.55 mse_u:4.24 mse_v:2.79 psnr_avg:36.81 psnr_y:35.45 psnr_u:41.86 psnr_v:43.68 
n:60 mse_avg:13.25 mse_y:18.15 mse_u:4.19 mse_v:2.70 psnr_avg:36.91 psnr_y:35.54 psnr_u:41.91 psnr_v:43.82 
n:61 mse_avg:3.57 mse_y:4.52 mse_u:2.11 mse_v:1.24 psnr_avg:42.60 psnr_y:41.58 psnr_u:44.88 psnr_v:47.20 
